title,rank,username,upDate,eyeNum,commentNum

[原创]WFP网络过滤驱动——限制网站访问,优秀,下咯,・2021-1-24 18:59, 6037, 14

[分享]A64Dbg-完全体进化，全架构支持,关注,GeekNeo,・2021-1-24 16:36, 5968, 17

[原创]【开源】Qujing曲境 | 在PC浏览器上进行安卓的监控hook,关注,燕幕自安,・2021-1-23 16:16, 6565, 18

[原创]QEMU逃逸初探,精华,ScUpax0s,・2021-1-22 00:05, 10450, 13

[原创]python_mmdt:从0到1--实现简单恶意代码分类器(二),优秀,大大薇薇,・2021-1-21 22:44, 3037, 2

[分享] pwnable.kr memcpy,优秀,i乂,・2021-1-21 20:04, 6125, 0

[原创]Hook方法过代理检测,关注,ST0n5,・2021-1-21 10:41, 6049, 11

[原创]Windows condrv.sys 本地拒绝服务漏洞分析,优秀,evilkis,・2021-1-20 02:34, 5102, 9

[原创]Frida源码编译环境搭建,关注,Shark chilli,・2021-1-19 12:21, 4962, 6

[原创]从0到1开始使用syzkaller进行Linux内核漏洞挖掘,优秀,ScUpax0s,・2021-1-18 22:39, 7850, 11

[原创]安卓APP抓包之双向认证突破,关注,丶空心,・2021-1-18 21:04, 9819, 15

[原创]看雪论坛tg群，走向世界 。,关注,linhanshi,・2021-1-18 17:59, 11084, 12

[分享]pwnable.kr uaf,优秀,i乂,・2021-1-18 14:48, 5687, 0

[原创]关于QQ读取Chrome历史记录的澄清,关注,qwqdanchun,・2021-1-16 16:16, 360000, 91

[原创]利用xhook安卓系统底层抹机原理,关注,AyonA333,・2021-1-16 11:06, 6618, 15

Android加密与解密入门两题,优秀,Simp1er,・2021-1-16 10:57, 4006, 1

[求助][原创]利用编译器优化干掉虚假控制流,优秀,挤蹭菌衣,・2021-1-15 22:23, 5949, 7

[分享]pwnable.kr cmd2 day13,关注,i乂,・2021-1-15 20:16, 5660, 0

[原创]浅析Emotet银行木马,优秀,1行,・2021-1-15 18:49, 2890, 6

[原创]Linux内核[CVE-2017-1000112] (UDP Fragment Offload) 分析,优秀,ScUpax0s,・2021-1-15 16:53, 4360, 0

[原创]德国威步CodeMeter通信协议中的漏洞分析,优秀,ic3blac4,・2021-1-14 19:42, 3365, 4

[原创]绝不杀后台之变态保活（卸载了APP还能运行）,关注,互联网老司机,・2021-1-14 16:37, 6015, 7

[分享]Frida之Stalker简介,优秀,无情剑客_bur,・2021-1-14 13:04, 4225, 2

[原创]深度探索：解除文件占用那些坑,优秀,anhkgg,・2021-1-14 11:08, 5244, 7

[分享]pwnable.kr   lotto   day11,优秀,i乂,・2021-1-13 21:31, 5801, 4

[原创]一类TBOX的介绍（有拿权限思路）,优秀,fengzhidian,・2021-1-13 18:12, 9601, 12

玩转Android10源码开发定制(14)修改安卓源码手机永不休眠,关注,蟑螂一号,・2021-1-13 14:57, 3436, 4

[原创]Linux内核[CVE-2017-5123] (waitid)原理分析,精华,ScUpax0s,・2021-1-13 13:18, 3828, 0

[翻译] IDA Pro DDR插件详解,关注,唐哲的猫,・2021-1-13 10:30, 2344, 5

[分享]pwnable.kr   BlackJack  day10,关注,i乂,・2021-1-12 23:01, 5193, 0

python_mmdt:一种基于敏感哈希生成特征向量的python库(一),关注,大大薇薇,・2021-1-12 22:37, 2208, 0

[原创] 如何在驱动层完美隐藏内存,优秀,crazyearl,・2021-1-12 13:17, 10196, 13

[原创]HRDP原理及应用的研究,关注,qwqdanchun,・2021-1-12 12:53, 2768, 5

一道算法题,关注,GitRoy,・2021-1-11 23:51, 3127, 1

[原创]FRIDA 使用经验交流分享,优秀,DMemory,・2021-1-11 10:29, 9988, 33

[原创]零时科技丨CTF技能宝典之智能合约#整数溢出漏洞,优秀,零时科技,・2021-1-11 09:48, 8626, 0

[分享]pwnable.kr   coin1  day9,关注,i乂,・2021-1-10 22:03, 4801, 0

[原创]A64Dbg-C++/Qt插件框架简介,关注,GeekNeo,・2021-1-10 15:22, 2007, 2

[原创]dir-645 超长cookie栈溢出漏洞分析之qemu-system模式,精华,pureGavin,・2021-1-10 13:41, 7531, 3

Android逆向的一点总结和困惑,关注,Ssssone,・2021-1-9 23:02, 10499, 34

[分享]pwnable.kr   shellshock   day8,优秀,i乂,・2021-1-9 20:34, 4874, 1

[分享]pwnable.kr   mistake  day7,关注,i乂,・2021-1-8 20:01, 4600, 0

[原创]无文件挖矿分析,优秀,快乐鸡哥,・2021-1-8 16:34, 3380, 5

[原创]MMTS(一) -- Windows CMD命令去混淆脚本,关注,大大薇薇,・2021-1-8 16:29, 2192, 0

[原创]西门子S7comm协议Read SZL解析,优秀,ic3blac4,・2021-1-8 14:52, 7768, 3

[分享]pwnable.kr   input   day6,优秀,i乂,・2021-1-7 22:20, 4828, 1

KCTF-前世今生（PWN）-WP,优秀,mb_gdkmpbou,・2021-1-7 18:21, 4785, 0

玩转Android10源码开发定制(11)内核篇之安卓内核模块开发编译,关注,蟑螂一号,・2021-1-7 11:50, 3657, 4

[原创]分析实战读书笔记6_样本实战之初探树形逻辑,优秀,SSH山水画,・2021-1-7 11:27, 1160, 0

[原创]分析ollvm混淆非标准算法,关注,laifuling,・2021-1-6 23:52, 2672, 2

[原创]PE结构,优秀,天象独行,・2021-1-6 19:52, 3845, 10

[原创]Anti-Bot安全SDK SGAVMP浅析,精华,我是小三,・2021-1-6 15:33, 19050, 12

[原创]RVA计算FOA,优秀,天象独行,・2021-1-6 15:26, 2108, 0

[原创] ubuntu 1604下 one_gadget 出现undefined method `unpack1'问题的解决方案,关注,lushanu,・2021-1-6 15:23, 5785, 2

[分享]pwnable.kr   random   day5,优秀,i乂,・2021-1-6 14:39, 4635, 1

[原创]ROP Emporium（一） ret2win,优秀,lushanu,・2021-1-6 10:27, 5153, 2

GDA 3.86 pro,优秀,wusha,・2021-1-6 10:01, 12851, 30

[分享]pwnable.kr   passcode   day4,优秀,i乂,・2021-1-5 23:48, 4696, 0

[原创]使用ida trace来还原ollvm混淆的非标准算法,关注,pass_,・2021-1-5 23:48, 2877, 1

[原创]浅尝ollvm轻度混淆后的加密算法分析,关注,Avacci,・2021-1-5 22:22, 1983, 0

[原创]剑网三怪物二叉树分析,优秀,qqzxc,・2021-1-5 21:36, 4361, 18

[原创]商业dwm绘制取巧分析,关注,qqzxc,・2021-1-5 21:27, 6602, 29

[分享]pwnable.kr   flag   day4,关注,i乂,・2021-1-5 19:38, 4214, 0

[原创]Emotet病毒分析之dll,精华,baobao雅,・2021-1-5 19:01, 2507, 2

[原创]西门子TIA MPK文件解包分析,优秀,wmsuper,・2021-1-5 16:39, 2592, 8

[原创]HVNC恶意软件介绍、分析、现状及应对措施,优秀,qwqdanchun,・2021-1-5 15:15, 2245, 5

玩转Android10源码开发定制(十)增加获取当前运行最顶层的Activity命令,关注,蟑螂一号,・2021-1-5 10:38, 2332, 0

[原创]C++基本语法,优秀,天象独行,・2021-1-4 22:23, 3649, 7

[原创]手游之cocos2d在java层中动态修改货币值,优秀,灯-等灯等灯~,・2021-1-4 16:38, 2053, 0

[原创]CVE-2019-2215复现及分析,精华,LowRebSwrd,・2021-1-4 14:04, 3541, 3

[原创]_IO_FILE劫持的一点总结,优秀,seana,・2021-1-3 20:47, 3354, 0

[原创]基于Python的邮件快速检测工具库,关注,大大薇薇,・2021-1-3 10:43, 2845, 4

[分享]pwnable.kr   fd   day1,优秀,i乂,・2021-1-2 21:25, 5444, 3

[分享]进程替换技术之源码分析与调试,优秀,Risks,・2021-1-1 20:41, 3915, 5

[原创]A64Dbg-ARM时代的OllyDbg，它来了！,关注,GeekNeo,・2020-12-31 19:59, 9603, 46

[原创] 某 MongoDB GUI 工具逆向记录,精华,KingSelyF,・2020-12-31 14:32, 3879, 7

[原创]android linker 编译替换,关注,pareto,・2020-12-31 14:20, 1508, 1

[原创]android linker 解读2 ----  find_library,优秀,pareto,・2020-12-31 13:34, 1745, 4

[原创]andorid linker 解读1----从loadLibrary到dlopen,关注,pareto,・2020-12-31 13:21, 1391, 1

[原创]CTF技能宝典之智能合约#重入漏洞,优秀,零时科技,・2020-12-31 10:35, 8781, 3

[原创]普通协议(HTTP)与安全协议(HTTPS),关注,上火喝王老吉,・2020-12-30 16:39, 1314, 1

[原创]内存解析Il2cpp函数地址,精华,唱过阡陌,・2020-12-29 22:07, 6009, 9

[原创]套娃式的FormBook家族样本对抗部分分析,精华,不懂就不懂,・2020-12-29 18:26, 4987, 13

[分享][原创]分析微信视频号的过程,关注,AyonA333,・2020-12-29 15:50, 4406, 4

[原创]angr学习（一）,优秀,直木,・2020-12-28 23:49, 2013, 0

[原创] Kamnira Adware分析,优秀,baolongshou,・2020-12-28 22:48, 1287, 0

[原创]《逆向工程核心原理》——反调试技术,优秀,哈桑,・2020-12-27 19:33, 3970, 2

[原创]ios-dumpdecrypted砸壳,关注,Gnoliew,・2020-12-27 15:12, 18097, 4

[分享][原创]Radare2+Frida实现破解,优秀,无情剑客_bur,・2020-12-26 23:37, 3749, 0

[原创] sktrace：基于 Frida Stalker 的 trace 工具,关注,bmax,・2020-12-26 19:52, 7259, 15

[原创]《逆向工程核心原理》小结,关注,哈桑,・2020-12-26 19:26, 3036, 2

[原创]macOS安装调试llvm入门,优秀,新萌,・2020-12-26 14:02, 3374, 8

[原创]KimSuky组织一远控样本分析,优秀,Jev0n,・2020-12-25 19:55, 2193, 1

[原创]Android svc获取设备信息,关注,珍惜Any,・2020-12-25 19:05, 6102, 21

理解补码，我用另外一种脑回路,关注,jmpcall,・2020-12-25 18:00, 3277, 2

[原创]QEMU + Busybox模拟Linux 内核环境,优秀,有毒,・2020-12-25 17:38, 4938, 9

CVE-2020-0423 android内核提权漏洞分析,精华,LowRebSwrd,・2020-12-25 14:44, 7925, 14

Frida子进程hook,关注,roysue,・2020-12-25 11:01, 4189, 6

[原创] CVE-2012-1889 暴雷漏洞详细分析(偏向成因),优秀,Daek.OwO,・2020-12-24 17:00, 6098, 5

实现32位简单版Windows和Linux双平台的C++运行库,优秀,genliese,・2020-12-24 14:47, 4866, 5

[原创]分析实战读书笔记5_实战分析恶意样本,关注,SSH山水画,・2020-12-24 12:32, 2535, 0

[原创]ELF文件逆向分析,优秀,奋进的小杨,・2020-12-24 00:12, 2564, 0

[原创]minifilter文件过滤驱动--实现查看文本内容替换为指定文本,优秀,下咯,・2020-12-23 21:00, 4781, 11

乐固分析,精华,[軍],・2020-12-23 17:18, 5243, 11

[原创]Sandboxie循序渐进,优秀,一半人生,・2020-12-23 16:43, 3688, 5

[原创]Docker搭建pwn环境,优秀,直木,・2020-12-23 03:11, 7042, 1

[原创]使用unicorn来trace还原ollvm混淆的非标准算法,优秀,misskings,・2020-12-22 17:35, 4675, 5

[原创]使用ollvm自定义简单的字符串加密,优秀,misskings,・2020-12-22 17:20, 2608, 0

[原创]Cobalt Strike4.0远控木马分析,优秀,快乐鸡哥,・2020-12-21 23:22, 6530, 7

[分享]实战分析人X的HTTP协议,关注,上火喝王老吉,・2020-12-21 17:35, 2258, 0

[原创]开源 AADebug 内核反反调试插件(支持x64dbg)-支持VMP3.X 支持SE等反调试,优秀,章鱼C,・2020-12-21 07:42, 7059, 25

[原创]关于Unity游戏Mono注入型外挂的一个检测思路,关注,renbohan,・2020-12-20 23:42, 6605, 9

[原创]详细的逆向游戏教程之教你踏上正道的光——不改包，干掉《桌球da师》,关注,Teatea222,・2020-12-20 16:39, 4234, 4

[原创]关于题目more-calc的解法和拓展,优秀,happi0,・2020-12-20 16:19, 4944, 1

[原创]调试实战 | 通过转储文件分析程序无响应之使用 windbg + IDA 逆向篇,精华,编程难,・2020-12-20 13:57, 3636, 7

[原创]IDA7.5黑色&白色皮肤-2020.12.22,关注,haogl,・2020-12-19 23:09, 6259, 25

[原创]通过DLL注入魔改植物大战僵尸(2)——僵尸篇,关注,34r7hm4n,・2020-12-19 13:11, 2402, 4

[原创]某东直播弹幕实时抓取,优秀,wx_公过水蚊,・2020-12-19 01:36, 3384, 1

[原创]精析DeFi协议Warp Finance“预言机”攻击事件,优秀,链必安Beosin,・2020-12-18 18:33, 9116, 1

[原创]分析实战读书笔记4_汇编中C代码结构,关注,SSH山水画,・2020-12-18 16:31, 2905, 5

[原创]（逆向入门）OD与IDA结合分析的经验总结,优秀,HJN2020,・2020-12-17 21:23, 3493, 7

[原创]通过DLL注入魔改植物大战僵尸(1)——准备工作,优秀,34r7hm4n,・2020-12-17 18:11, 3063, 6

IDA7.5 启动基础配置,优秀,HHHso,・2020-12-17 12:12, 14121, 40

[原创]GO恶意样本实例分析,优秀,Heavenml,・2020-12-17 11:57, 2753, 0

[原创]简单思路去sojson各版本的js混淆,优秀,SSH山水画,・2020-12-16 16:31, 5658, 15

[原创]带菜鸟入个门---58行代码破掉主流游戏保护实现CE读写,优秀,学技术打豆豆,・2020-12-16 11:31, 10019, 29

[原创]实操篇- pixel 2 刷8.0.0/8.1.0 AOSP +4.4 Kernel (重点解决刷完触屏失灵问题),关注,koozxcv,・2020-12-15 16:29, 4082, 5

[原创]python exe文件解包方法总结,优秀,LarryS,・2020-12-15 15:00, 4097, 5

[原创]Emotet病毒分析,优秀,baobao雅,・2020-12-15 10:33, 2134, 2

[原创] KCTF2020 秋季赛 第九题 命悬一线,优秀,Aryb1n,・2020-12-15 00:31, 4523, 0

[原创] KCTF2020 秋季赛 第七题 鱼目混珠,优秀,Aryb1n,・2020-12-15 00:23, 4312, 0

[原创] KCTF2020 秋季赛 第六题 兵刃相向,优秀,Aryb1n,・2020-12-15 00:20, 4320, 0

[原创] KCTF2020 秋季赛 第五题 紧急救援,优秀,Aryb1n,・2020-12-15 00:18, 4313, 0

[原创] KCTF2020 秋季赛 第四题 突破重围,关注,Aryb1n,・2020-12-15 00:15, 4249, 0

[原创] KCTF2020 秋季赛 第三题 重返地球,优秀,Aryb1n,・2020-12-15 00:14, 4338, 0

[原创] KCTF2020 秋季赛 第二题 异常信号,优秀,Aryb1n,・2020-12-15 00:10, 4402, 0

[原创]小红书新版shield逆向,优秀,hczhong,・2020-12-14 23:42, 11271, 23

int3 和int 3的区别,关注,ookkaa,・2020-12-13 18:29, 1394, 0

[原创]ACPI.sys，从Windows到Bios的桥梁(1)：windbg跟踪win7开启ACPI,优秀,hyjxiaobia,・2020-12-13 15:39, 3257, 2

[原创]PE文件格式学习(3)——IAT,优秀,34r7hm4n,・2020-12-12 18:45, 2222, 6

[原创]Mac 10.14.x 下Android 10源码（QP1A.190711.020）编译和刷机 (Pixel 2 XL),关注,fenfei331,・2020-12-12 14:38, 1848, 1

[原创]PE文件格式学习(2)——PE头,关注,34r7hm4n,・2020-12-12 12:13, 1313, 0

[原创]Radare2逆向分析dex/so/二进制等文件的使用方法,关注,香风一族,・2020-12-12 11:39, 2704, 0

[原创]DMM的DRM解密,精华,曾半仙,・2020-12-12 10:45, 7472, 4

[原创][分享]利用公网远程调试内网穿透的安卓设备,关注,llq,・2020-12-12 00:43, 6858, 0

[原创]PE文件格式学习(1)——基本概念,关注,34r7hm4n,・2020-12-11 23:07, 1311, 0

[原创]Linux内核[CVE-2016-5195] (dirty COW)原理分析,精华,ScUpax0s,・2020-12-11 18:44, 4619, 0

[原创] 某加固软件的一些检测点以及绕过方法，欢迎补充,关注,ermei,・2020-12-11 11:16, 2564, 1

KCTF2020秋季赛 第十题 终焉之战,优秀,风间仁,・2020-12-11 01:08, 5417, 1

[原创]Android动态调试-R2frida和lldb,关注,无情剑客_bur,・2020-12-10 19:30, 2138, 2

[原创]学习篇-xposed框架及高版本替代方案,关注,koozxcv,・2020-12-10 19:15, 4295, 1

[原创]CVE-2020-1472 NetLogon 权限提升漏洞研究,精华,蝶澈——,・2020-12-10 18:21, 5640, 5

[原创]HMI固件解密思路,优秀,wmsuper,・2020-12-10 10:26, 9272, 16

栈迁移,优秀,jmpcall,・2020-12-9 23:43, 4334, 1

[翻译]逆向恶意软件C2通信:从Sockets到COM,关注,limer,・2020-12-9 15:44, 6898, 0

[原创]栈功能分析-局部变量传送,优秀,天象独行,・2020-12-9 14:44, 2225, 2

[原创] 第九题 命悬一线 writeup,优秀,修仙大能,・2020-12-9 11:54, 4948, 0

[原创]看雪2020 KCTF秋季赛 第九题 命悬一线writeup,精华,number_Z,・2020-12-8 19:08, 4783, 0

[原创]分析实战读书笔记3_IDA小知识,优秀,SSH山水画,・2020-12-8 18:30, 3128, 2

[原创]实战分析43XX的HTTPS协议,关注,上火喝王老吉,・2020-12-8 17:36, 1175, 1

[原创]分析实战读书笔记2_初级动态分析,优秀,SSH山水画,・2020-12-8 15:13, 1618, 0

[原创]某SCADA工程文件代码执行漏洞挖掘和利用,优秀,wmsuper,・2020-12-8 12:57, 5992, 1

"[原创]内核层自己发送IRP请求操作文件全面总结(已完整调试, x86/x64各系统通用）",精华,低调putchar,・2020-12-8 00:30, 8186, 44

[原创]2020KCTF秋季赛第九题wp,优秀,srp8ve7ou2,・2020-12-7 23:22, 3977, 0

KCTF2020秋季赛 第九题 命悬一线,优秀,风间仁,・2020-12-7 21:24, 3963, 0

[原创]第九题 命悬一线 by k1ee,优秀,k1ee,・2020-12-7 21:16, 4185, 0

[原创]第八题 惊天阴谋 by k1ee,优秀,k1ee,・2020-12-7 20:46, 3952, 0

[原创]KCTF2020秋季赛 第八题 惊天阴谋 WP,精华,Anakin Stone,・2020-12-7 10:49, 4183, 1

逆向某聊天app实现60行代码自定义发送消息图片,精华,影…………,・2020-12-7 03:29, 9144, 29

[原创]2020KCTF秋季赛第八题wp,优秀,srp8ve7ou2,・2020-12-6 22:12, 3972, 0

KCTF2020秋季赛 第八题 惊天阴谋,优秀,风间仁,・2020-12-6 20:47, 3988, 0

[原创]手游之u3d之dll文件加密之手动修复,优秀,灯-等灯等灯~,・2020-12-6 20:42, 2148, 0

[原创]使用C++写壳,精华,三一米田,・2020-12-6 15:35, 13508, 18

[原创]第八题 惊天阴谋,精华,大帅锅,・2020-12-6 15:20, 4415, 1

[原创]Radare2逆向Android so文件,关注,无情剑客_bur,・2020-12-6 13:27, 2393, 1

[原创]how2heap调试学习（三）,优秀,yichen115,・2020-12-6 12:30, 5180, 0

[原创]how2heap调试学习（二）,优秀,yichen115,・2020-12-6 12:16, 5111, 0

how2heap调试学习（一）,精华,yichen115,・2020-12-5 22:42, 5711, 1

[分享]反调试demo，根据网上别人分享的思路整合的代码,关注,ookkaa,・2020-12-5 22:41, 1739, 8

[原创]Note——CVE-2010-3333,优秀,erfze,・2020-12-5 11:49, 2414, 4

[原创]Flexnet通关后传-license文件自动部署解决方案,优秀,tcy027,・2020-12-5 10:49, 1992, 6

[原创]10行代码DIY一个类似USB Rubber Ducky的硬件来遥控自己电脑,优秀,shineblink,・2020-12-5 10:01, 7075, 0

零基础开发WIFI设备,优秀,shineblink,・2020-12-5 09:57, 6868, 0

[原创]Linux内核Ret2dir,优秀,ScUpax0s,・2020-12-5 00:52, 4140, 1

[原创]KCTF2020秋季赛  第七题 鱼目混珠,优秀,梦游枪手,・2020-12-5 00:36, 3346, 0

[原创][原创] WVSC的Patch分析,关注,nevinhappy,・2020-12-4 18:10, 930, 0

[原创]分析实战读书笔记1_初级静态分析,优秀,SSH山水画,・2020-12-4 16:23, 4290, 7

[分享]加密方式整理,优秀,大河向东流哇,・2020-12-4 15:45, 8257, 9

[原创]驱动遍历系统进程,关注,L0x1c,・2020-12-4 15:27, 1430, 0

[原创]双机调试环境搭建,关注,L0x1c,・2020-12-4 15:24, 1391, 0

[原创]《逆向分析-使用关键字进行功能破解》,优秀,梦幻的彼岸,・2020-12-4 13:58, 5082, 13

[原创]某SCADA的远程代码执行漏洞挖掘与利用,优秀,wmsuper,・2020-12-4 10:23, 6061, 5

[原创]Medusalocker勒索病毒,优秀,L0x1c,・2020-12-4 09:32, 1316, 0

[原创]Miasm 使用笔记,优秀,大帅锅,・2020-12-3 12:53, 1160, 1

[原创]Gnu Prolog 内存大小设置不当 VirtualProtect函数487错误 启动失败修复,关注,老刘NoOne,・2020-12-3 11:49, 673, 0

[原创]KCTF 2020 秋季赛第七题 writeup,优秀,Loka,・2020-12-3 11:42, 4045, 2

[原创]Linux内核堆喷（Linux Kernel Heap Spray）,优秀,ScUpax0s,・2020-12-3 11:38, 4457, 2

KCTF2020秋季赛 第七题 鱼目混珠,优秀,风间仁,・2020-12-2 22:00, 3330, 0

[原创][原创]抓包工具,优秀,上火喝王老吉,・2020-12-2 16:03, 4799, 3

[原创]第七题 鱼目混珠 by k1ee,优秀,k1ee,・2020-12-2 15:26, 3333, 0

[原创]【KCTF2020秋季】【第七题】【鱼目混珠】,优秀,ccfer,・2020-12-2 12:12, 3278, 0

[原创]KCTF2020秋季赛 第七题 鱼目混珠 WP,优秀,Anakin Stone,・2020-12-2 11:36, 3288, 0

[原创]GO恶意样本分析,优秀,Heavenml,・2020-12-2 11:32, 2949, 4

[原创]CVE-2017-0263win32k.sys内核漏洞分析,精华,Ring3,・2020-12-1 23:12, 3995, 0

[原创]Kraken攻击恶意样本,优秀,L0x1c,・2020-12-1 18:50, 2146, 4

[原创]dumpdecrypted砸壳高版本iOS（如iOS12）的正确姿势,关注,cjycjw,・2020-12-1 17:51, 18559, 3

[原创]某数字浏览器数据库算法逆向,精华,初学逆向,・2020-12-1 16:26, 4941, 18

"[原创]南亚APT组织""蔓灵花""历史攻击活动浅析(上)",精华,顾何,・2020-12-1 10:21, 2048, 2

elf---PLT和GOT节相关的细节,关注,qux,・2020-12-1 09:42, 1108, 0

[原创]Pwn堆利用学习—— Fastbin-Double-Free ——ACTF_2019_message,优秀,直木,・2020-11-30 22:02, 6499, 2

[原创]Pwn堆利用学习—— Use-After-Free——pwnable_hacknote,精华,直木,・2020-11-30 21:55, 5590, 3

[原创][分享]Radare2静态分析so,关注,无情剑客_bur,・2020-11-30 20:28, 2084, 0

[原创]IE JScript9.dll UAF漏洞(CVE-2020-1380)利用复现笔记,精华,银雁冰,・2020-11-30 20:20, 9594, 14

[原创]逆向分析ObRegisterCallbacks学习回调结构,优秀,JustOn1y,・2020-11-30 17:09, 1797, 2

[原创]某bobo在线视频APP下载暴力流逆向,关注,不怎么飘逸,・2020-11-30 16:39, 2006, 3

[原创]第六题 兵刃相向 by k1ee,精华,k1ee,・2020-11-30 14:39, 3252, 0

[原创]超级详细的Frida Hook和Xposed Hook再搞Crackme,关注,杰孑,・2020-11-30 11:34, 3424, 6

[分享]第六题 兵刃相向 wp,优秀,憎饿,・2020-11-29 22:08, 2738, 0

windbg简单分析技巧笔记,精华,独钓者OW,・2020-11-29 00:09, 3614, 17

[原创]祥云杯2020 babydev(内核PWN) 详解,优秀,ScUpax0s,・2020-11-28 22:08, 6070, 4

[原创]Log插桩调试smali代码,关注,文生,・2020-11-28 14:10, 2169, 1

[原创]ios逆向-frida&环境&破解appSign算法,优秀,mb_aoooaosd,・2020-11-28 11:33, 22846, 7

[原创]第五题 紧急救援 by k1ee,精华,k1ee,・2020-11-28 03:21, 4712, 14

[原创] KCTF 2020 Win. 第五题 砸开套娃思路,精华,HHHso,・2020-11-27 23:35, 3863, 3

[原创]Galgame汉化中的逆向（四）_IDA静态分析psv游戏,优秀,devseed,・2020-11-27 18:23, 3015, 4

[原创]SMC技术浅析,优秀,Ddjsq_2333,・2020-11-27 15:47, 1276, 1

[原创]超级详细的实战分析一个Crackme的过程,优秀,杰孑,・2020-11-27 13:11, 4818, 17

[讨论]SCUCTF 2020新生赛 PWN部分出题笔记,优秀,ScUpax0s,・2020-11-27 11:34, 7150, 10

[原创]看雪 CTF 的一道题目,优秀,琅環玉碎,・2020-11-26 19:56, 2856, 5

[原创]小白分析PCManFTP漏洞 CVE-2013-4730,优秀,哦哈哈哈哈,・2020-11-26 19:23, 3315, 1

[原创]祥云杯2020 PWN 详解,优秀,ScUpax0s,・2020-11-26 15:16, 5724, 1

[分享]《0day漏洞分析第二版》第十章第3节覆盖虚函数突破GS修改实验记录,关注,fjrdwork,・2020-11-26 11:37, 4622, 1

[原创].net也能写内存挂,关注,mudebug,・2020-11-26 10:51, 9030, 32

原创] 格式工厂5.5.0.0 修改1000个文件限制为10000,关注,wanttobeno,・2020-11-26 10:46, 1357, 3

[原创]一种对抗AndroidNativeEmu的方法,关注,fenfei331,・2020-11-26 10:43, 1973, 4

[原创]RSA数字签名？原来这么好理解！,优秀,北海要多想,・2020-11-25 22:46, 7199, 3

[原创]dir-645 超长cookie栈溢出漏洞分析,精华,pureGavin,・2020-11-25 15:41, 12487, 18

[原创]KCTF2020秋季赛 第四题 突破重围,优秀,梦游枪手,・2020-11-24 23:04, 2180, 0

[原创]MD系列算法,优秀,上火喝王老吉,・2020-11-24 17:30, 7820, 1

[原创]win10 32位 过TP双机保护,关注,思源欲涩,・2020-11-24 17:05, 4557, 10

[原创]从0开始CTF-PWN（四）ROP绕过栈可执行保护与GOT表劫持,优秀,dxbaicai,・2020-11-24 14:51, 6175, 4

[原创]Pwn堆利用学习——Unlink —— 2014_hitcon_stkof,优秀,直木,・2020-11-24 14:30, 5046, 0

[原创]第四题 突破重围 by k1ee,优秀,k1ee,・2020-11-24 12:45, 3183, 3

[原创]第二题 异常信号 by k1ee,优秀,k1ee,・2020-11-24 12:33, 1906, 0

[原创] KCTF 2020 Win. 第四题 路在何方,精华,HHHso,・2020-11-24 12:18, 1577, 0

[原创]第四题 突破重围,优秀,大帅锅,・2020-11-24 11:28, 2131, 0

[原创]小白的一次缓冲区溢出复现笔记,优秀,半杯凉茶,・2020-11-24 11:00, 4149, 2

[原创]KCTF2020秋季赛 第四题 突破重围,优秀,ODPan,・2020-11-24 10:11, 1801, 0

[原创][分享] CVE-2012-1889 暴雷漏洞详细分析(偏向成因),优秀,Daek.OwO,・2020-11-24 09:40, 1084, 1

[原创]KCTF2020秋季赛 第四题 突破重围 WP,优秀,Anakin Stone,・2020-11-24 09:29, 5115, 1

[原创]KCTF2020秋季赛 第四题 突破重围 writeup,精华,neilwu,・2020-11-23 23:42, 1691, 0

[原创]CVE-2015-1641及利用样本分析,优秀,erfze,・2020-11-23 23:29, 1392, 0

[原创]看雪2020 KCTF秋季赛 第四题 突破重围writeup,精华,number_Z,・2020-11-23 19:41, 2386, 2

[原创][分享]CVE-2012-1889(暴雷)漏洞分析报告,优秀,三一米田,・2020-11-23 18:04, 3482, 1

 [原创]KCTF2020秋季赛 第四题 突破重围writeup,优秀,修仙大能,・2020-11-23 12:38, 1572, 0

[原创]Pwn堆利用学习——Off-By-One——Asis_2016_b00ks,精华,直木,・2020-11-23 09:37, 4607, 0

[原创]某猫小说sign简单分析,关注,wx_公过水蚊,・2020-11-22 19:40, 4039, 5

[原创]如何优雅的改变栈大小？,关注,编程难,・2020-11-22 19:36, 1691, 2

[原创]DLL劫持-免杀,优秀,mi1itray.axe,・2020-11-22 17:47, 6447, 8

KCTF2020秋季赛 第四题 突破重围,优秀,风间仁,・2020-11-22 17:19, 1527, 0

[原创]2020KCTF重返地球writeup,优秀,淡然他徒弟,・2020-11-22 13:17, 1967, 0

[原创]2020KCTF秋季赛第三题重返地球wp,优秀,srp8ve7ou2,・2020-11-22 09:53, 1825, 0

[原创]KCTF2020秋季赛 第三题 重返地球,优秀,梦游枪手,・2020-11-22 01:32, 1619, 1

KCTF2020秋季赛 第三题 重返地球,优秀,风间仁,・2020-11-21 22:16, 1602, 0

